Hay Day	gut		Spaß pur
Bike Race Free	gut		Top game mit sucht Potenzial
Subway Surfers	gut	Gut	Es lagt manchmal
Subway Surfers	gut		Es ist ein tolles Spiel aber manchmal bleibt es stehen
Hay Day	gut		Cccccccccooooooooooooooooo ooooooooooll
Hay Day	gut		Server Offline...
Subway Surfers	gut	Richtig gut	Das spiel macht richtig fun nur eins stört mich ich spiele seit 2 jahren und hab in der mystery box noch keinen eizigen jakebot erhalten es wär echt cool wenn ihr den jakebot ofter macht wäre echt klasse
Bike Race Free	schlecht	Verarsche	Seit update nur noch black screen
Die Simpsons	schlecht		Da ist nur was mit einer Katze und einer maus
Subway Surfers	gut		Cool
Call Of Duty Heroes	gut		Ich finde es super
Die Simpsons	schlecht	???	Nur über W-Lan.... Soll das ein Witz sein? Nicht jeder hat W-Lan...
Subway Surfers	gut		Cool
Tower Defense	schlecht	Guter anfang aber...	Nutzungsbedingungen auf chinesisch??? Außerdem wird das spiel ohne upgrades, die man langfristig kaufen muss unschaffbar selbst auf easy
Bike Race Free	gut	Geil	Geil
Subway Surfers	gut	Sehr gut	5*
Temple Run	gut		Das Spiel macht total Spaß,ich finde temple run besser als die neuere Version also 5 ☆
Hay Day	gut		Geil!!
Farmville 2	gut	Cooooooooooooool	Ala ala
Subway Surfers	gut	WoW	Ich Liebe diese app
Farmville 2	gut	Super	Echt klasse
Hay Day	gut		Schöner Zeitvertreib
Die Simpsons	gut	Sehr gut.	Es wäre super das man auch was von den gesammelten Dollars in Spiel auch was kaufen kann zum beispiel die Superhelden oder andere Figuren, und nicht nur von den Donuts. Man bekommt so selten Donuts um die Aufgaben fertig zubringen, und dann ist es auch noch viel zu teuer. Bitte ändern dann wieder 5 Sterne.
Bike Race Free	gut	Super	Geil*-*
Subway Surfers	gut	COOOOOLLL	Einfach nur COOOLLL
Call Of Duty Heroes	gut		Geil
Farmville 2	schlecht	Geht so	Ich spiele das spiel schon ewig aber jetzt wegen das event giebst nur Probleme zum ein das event viel eigendlich hatte ich jetzt vier teiel bei den Anfang aber ergendwie spinnt das wo ich das teiel Einladung bekommen habe war kein hacken da wo ich den den das vierte teiel bekommen habe hat es ein hacken bei der Einladung gemacht da stimmt was nicht Bitte das Problem beheben das kann nicht sein ich komme jetzt nicht mehr weiter bitte beheben
Call Of Duty Heroes	gut	Fantastisches Spiel	3 in 1 Action und Strategie und Aufbau :)
Farmville 2	gut		Einfach spitze fuer jung und aelter
Hay Day	schlecht		Seit 3 Stunden aktualisiert es schon richtig nervig
Angry Birds	gut	Einfach cool	Es ist so cooooooolllll die werbung ist sehr nervig sonst ist alles cooooooooolllllllllllllll......
Subway Surfers	gut		Das Beste spiiiiiieeel ever:*
Die Simpsons	schlecht	Simpsons	Fuck Fuck Fuck "EA". Bekommt ihr es noch auf die reihe? Oder arbeiten bei euch nur nerds? Auch am 11.05. besteht der fehler. Stürzt jedes mal beim laden ab.
Cut The Rope 2	gut	Cooool	Eigentlich 5sterne nu nerft die energie
Tower Defense	gut	Weiter so	Abwechslungsreichtes defender Spiel im Store.
Subway Surfers	gut	Samsung :D	Cool
Farmville 2	gut	Schlüssel	Ich habe heute Schlüssel gekauft, aber sie nie erhalten. Danke das ich zahlen durfte, aber nichts bekomme
Subway Surfers	gut	Geil	Geil
Die Simpsons	schlecht		Ruckelt nach dem Update auf 5.0.1
Die Simpsons	gut		Misssyrah77
Subway Surfers	gut	Super	Eindach exellent
Hay Day	schlecht	Super Spiel	Stürzt immer ab
Subway Surfers	gut	Cool	Nix zu bemängeln☺😊😀😁👑 bis auf das Bord is bissi zu schnell weg😐
Cut The Rope 2	gut	Is okay	Sonnenkraft wird sofort leer das ist dumm aber sonst ist das Spiel toll
Subway Surfers	gut	Cool	Toll
Hay Day	gut	Super	Macht mega spars
Hay Day	gut		Geil
Bike Race Free	gut	Gut	Top
Die Simpsons	gut	Super Spiel	Bin jetzt Level 47. Hat echt suchtgefahr das Spiel. Könnte noch Nachbarn gebrauchen.: jessica_sc260.
Die Simpsons	gut		E3079
Subway Surfers	gut	Geil	Also ich finde es nicht so schlecht. Also mir ist egal was die anderen sagen mir ist das wichtig was ich schreibe :-)
Subway Surfers	gut		Einfach geiiiiiiilllllllles spiel!:-)
Die Simpsons	schlecht	Schlecht	Ich komme nicht ins spiel. Keine verbindung zum Server. Macht absolut kein Spaß und das Event läuft.Kann im Krusty Länd auch die Ballone nicht mehr platzen lassen,so konnte man mit Glück noch Donuts gewinnen.Es nervt mega !!!
Farmville 2	schlecht	Das nervt immer kommen Nachrichten "deine karotten sind vertig und ich hab einmal ein event gewonnen War 1 und hab keine Katze bekommen	Kacke
Subway Surfers	gut		Dieses Spiel ist sooo toll. Ich spiele es jedes mal wenn ich Zeit habe. Klar nach einer Zeit wird es fad, aber das ist bei allen spielen so. Das einzige was mich ein bischen stört sind die vielen Werbungen und, dass man für manche Figuren echt richtig viel Spielgeld braucht. Biiiiitteee macht die Figuren ein wenig billiger und macht mal wieder neue städte. Sonst ist das Spiel echt das beste auf der Welt
Die Simpsons	gut	Witzig	Macht Spaß und ist ein muss für alle Simpsons-Fans! Falls noch jemand einen Nachbarn braucht: tellertaxi77
Hay Day	schlecht	Soo geil ^·^	Des is so geil.es ist wirklich geschenkt und es macht so spaß ich hab bald gemeinde :-D ich bin so glücklich mit dem spiel ;-) ladets euch bitte runter so cool °·° :')
Subway Surfers	schlecht	Spielstände?	Leider kann man Spielstände nicht wiederherstellen
Call Of Duty Heroes	gut	HTC One M8	Soweit so gut!
Hay Day	gut	Lange Wartezeit, aber	Ich sag nur:F A N T A S T I S C H!
Tower Defense	gut		Nice game i really like it
Hay Day	gut		Super geil
Subway Surfers	gut	es ist ein geiles spiel	die Menschen ich fasse es nicht aber habt ier diesen blauen Dinosaurier dan sagt miers bitte ok
Subway Surfers	gut	SEHR GUT!!!!!!!	Macht sehr viel Spaß
Hay Day	gut	Spiel ist gut	Aber man soll sich auch über Google Plus mit anderen verbinden können
Die Simpsons	schlecht	Tagesaufgaben	Seit Wochen hab ich keine Tagesaufgaben mehr. Auch nicht nach dem update. Bitte um Behebung. Benutzer sb100378
Cut The Rope 2	schlecht	Richtig schlecht	Bei mir Funktioniert das nicht
Bike Race Free	gut	Geht so	Halt die bikes
Cut The Rope 2	gut	Sehr gut	Es macht Spaß
Farmville 2	schlecht		Nach letztem Update stürzt das Spiel andauernd ab. Kann gar nicht mehr spielen. Bitte um Verbesserung :(
Angry Birds	gut		Gutes game
Die Simpsons	gut	Update auf Update !	Update auf Update. Es reicht langsam, besonders wenn man ständig wärend der Events nicht ins Spiel kommt ! Schade, denn ansonsten ist das ein echt geiles Spiel mit Suchtfaktor !
Call Of Duty Heroes	gut		Sehr gut :))
Hay Day	gut	*-*	Sehr cool, es bringt einfach nur spaß ;-) das muss man sich runterladen, weil es einfach nur cool ist . Nur eins ist doof das man wenn man dan nicht so viele Diamanten hat das man erst warten muss bis die Ernte oder so fertig ist und das dauert abundzu ziehmmlich lange, und dann kann man nicht weiter spielen. Aber sonst ist es GEIL .;-)(-:
Hay Day	gut	Macht irre spaß!	Sehr abwechslungsreich und es gibt immer was zu tun. Es ist wahnsinnig fesselnd!!! Da dieses Spiel aufwendig gemacht und die Grafik echt super ist, ist es leider ein echter Akkufresser. Macht aber nix, einfach in der Nähe einer Steckdose spielen ;-)
Subway Surfers	gut		Sehr schönes Spiel aber warum installiert es ne
Die Simpsons	gut		Ich brauche Nachbarn bin ganz neu ledam9911 bis dann 😉
Angry Birds	gut	Gut	Gut
Farmville 2	gut	Susanne	Ich finde es einfach nur Hammer😁
Farmville 2	gut		Macht echt spass. Man sollte aber schneller Schlüssel verdienen können. Es wäre auch super, wenn man die öfen und andere Gegenstände drehen könnte
Hay Day	gut	Supi	Supi spiel
Subway Surfers	gut	Lautrim	Boss
Subway Surfers	gut	Cool	Macht spaß, aber nach ner Zeit hörts dann wieder auf. Aber ich wünsch noch viel Spaß!!!
Subway Surfers	gut	Cool	Geil aber es ist doof das die boards so teuer sind
Hay Day	gut		Hoher suchtfaktor!
Subway Surfers	schlecht		Langweilig
Cut The Rope 2	gut		Geil
Tower Defense	gut	Geil	Geil
Die Simpsons	gut	Top Game	Ich liebe es bin jeden tag online funzt ohne probleme das einzigste was nervt das man freunde nur alle 24 h besuchen und helfen kann
Die Simpsons	schlecht	Zur zeit NAJA	Echt tolles spiel und ich zock das schon sehr lange... aber mit der aktion die im Moment läuft hab ich ein paar kleine probleme... vielleicht könnt ihr hier mir helfen. Wie soll ich die 10 Gebäude denn hinbekommen bei den knickrigen Ressourcen löhne??? Obwohl ich die Gebäude zum updaten auch alle soweit wie möglich upgedatet habe??? Dazu kommt das ich während dieser aktion schon fast alle gebäude gebaut habe und jetzt kurz vor ende kommt die forderung der 10 Gebäude und die bestehenden zählen nicht???
Die Simpsons	gut		😭 WAS IST DAS FÜR EIN SCHEIß?!!! ICH WAR LVL 38!!!! ALLES WEG!!! -.- SOLL DAS EIN SCHERZ SEIN!??
Call Of Duty Heroes	gut	GUT	GUTES GAME
Temple Run	schlecht	Nervt	Das spiel an sich ist eigentlich ganz gut aber es nervt immer wenn man spielen will hängt es Bitte beheben dann gibts vllt mehr sterne
Subway Surfers	gut		Cool und vorallem mit unlimited subway coins forever
Die Simpsons	schlecht		Das Spiel funktioniert so gut wie nie!
Die Simpsons	schlecht	Ich komme nicht ins Spiel rein	Seit gestern versuche ich ins Spiel rein zu kommen und das Bild wird schwarz und das Spiel ladet nicht mehr bei meiner Freundin ist es genau so!!!!
Farmville 2	schlecht		Behebt endlich die Fehler dann gibt es auch mehr Sterne
Subway Surfers	gut		Es super
Subway Surfers	gut		Das spiel ist gul
Die Simpsons	gut		Super gamme
Subway Surfers	gut	Nixzuusagen	Dieseappistcool!irmüsstsieausprobieren...😎
Die Simpsons	gut		Macht noch Spaß und es gibt einiges an Updates. Einziger Nachteil derzeit und deshalb nur vier Sterne: die Begrenzung der Geländefelder die man kaufen kann sollten mal wieder erweitert werden. Habe keinen Platz mehr um eine vernünftige Stadt zu bauen.
Farmville 2	schlecht	Update	Mir geht's wie den meisten anderen auch, kann das Spiel nicht mehr starten, bleibt bei 22% stecken. Kümmert euch um das Problem!
Subway Surfers	gut	:-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-)	Es ist super cool das Spiel und ich würde mich freuen wenn ihr noch ein weiteres macht cool
Subway Surfers	gut	Super	Sehr Schoner Zeitvertreib
Subway Surfers	gut		Sehr witzig
Die Simpsons	gut	Sucht pur	Spiele sucht pur wer noch Freunde braucht kann mich gerne hinzufügen elpasso04
Hay Day	gut	Cool	Wie auf dem Bauernhof
Cut The Rope 2	gut	Super vür Kinder	Super
